Find 13459 frequent item sets !!!
Including 157 1-item frequent set
rubbing alcohol, support: 10
whole milk, liver loaf, support: 21
citrus fruit, spices, support: 10
spices, rolls/buns, support: 11
pip fruit, spices, support: 11
tropical fruit, spices, support: 11
spices, yogurt, support: 12
sausage, spices, support: 13
whole milk, spices, support: 14
other vegetables, spices, support: 19
coffee, jam, support: 10
tropical fruit, jam, support: 11
jam, yogurt, support: 12
butter, jam, support: 12
bottled water, jam, support: 12
jam, beef, support: 12
soda, jam, support: 13
jam, rolls/buns, support: 13
other vegetables, jam, support: 18
root vegetables, jam, support: 19
whole milk, jam, support: 29
sausage, softener, support: 10
softener, shopping bags, support: 11
soda, softener, support: 11
softener, pip fruit, support: 11
detergent, softener, support: 11
softener, yogurt, support: 12
other vegetables, softener, support: 16
softener, whole milk, support: 21
soda, sauces, support: 10
sauces, brown bread, support: 12
sauces, tropical fruit, support: 12
sauces, hamburger meat, support: 12
other vegetables, sauces, support: 15
whole milk, sauces, support: 21
sparkling wine, whole milk, support: 10
sparkling wine, root vegetables, support: 10
other vegetables, sparkling wine, support: 15
soda, cereals, support: 10
cereals, tropical fruit, support: 10
cereals, domestic eggs, support: 10
cereals, pastry, support: 10
whipped/sour cream, cereals, support: 10
cereals, curd, support: 11
cereals, rolls/buns, support: 11
cereals, root vegetables, support: 13
other vegetables, cereals, support: 20
cereals, yogurt, support: 21
cereals, whole milk, support: 36
chocolate, dental care, support: 10
tropical fruit, dental care, support: 10
yogurt, dental care, support: 11
soda, dental care, support: 11
newspapers, dental care, support: 13
rolls/buns, dental care, support: 14
whole milk, dental care, support: 18
other vegetables, dental care, support: 20
kitchen towels, napkins, support: 10
pip fruit, kitchen towels, support: 10
salty snack, kitchen towels, support: 10
soda, kitchen towels, support: 12
coffee, kitchen towels, support: 12
kitchen towels, yogurt, support: 12
rolls/buns, kitchen towels, support: 12
tropical fruit, kitchen towels, support: 13
root vegetables, kitchen towels, support: 13
other vegetables, kitchen towels, support: 22
whole milk, kitchen towels, support: 27
female sanitary products, bottled water, support: 10
female sanitary products, shopping bags, support: 11
citrus fruit, female sanitary products, support: 13
soda, female sanitary products, support: 14
other vegetables, female sanitary products, support: 14
female sanitary products, rolls/buns, support: 16
female sanitary products, yogurt, support: 16
female sanitary products, whole milk, support: 20
finished products, fruit/vegetable juice, support: 10
sausage, finished products, support: 10
finished products, chocolate, support: 12
shopping bags, finished products, support: 14
finished products, pastry, support: 14
whole milk, finished products, support: 14
soda, finished products, support: 17
other vegetables, finished products, support: 20
vinegar, napkins, support: 10
vinegar, cream cheese , support: 10
vinegar, pastry, support: 11
frankfurter, vinegar, support: 11
vinegar, citrus fruit, support: 11
vinegar, rolls/buns, support: 16
vinegar, root vegetables, support: 16
vinegar, yogurt, support: 18
vinegar, other vegetables, support: 24
vinegar, whole milk, support: 26
soups, sugar, support: 10
soups, newspapers, support: 10
soups, pastry, support: 10
soups, yogurt, support: 10
soups, butter, support: 10
soups, bottled water, support: 10
soups, domestic eggs, support: 11
soups, coffee, support: 11
soups, frozen vegetables, support: 11
soups, frankfurter, support: 11
soups, soda, support: 12
soups, bottled beer, support: 12
soups, rolls/buns, support: 13
soups, margarine, support: 13
soups, pip fruit, support: 14
soups, whipped/sour cream, support: 15
soups, citrus fruit, support: 16
soups, root vegetables, support: 17
soups, whole milk, support: 29
soups, other vegetables, support: 31
root vegetables, zwieback, support: 10
soda, zwieback, support: 11
zwieback, rolls/buns, support: 14
zwieback, yogurt, support: 14
zwieback, tropical fruit, support: 14
other vegetables, zwieback, support: 17
whole milk, zwieback, support: 17
bottled water, popcorn, support: 10
popcorn, bottled beer, support: 10
tropical fruit, popcorn, support: 11
rolls/buns, popcorn, support: 11
sausage, popcorn, support: 12
fruit/vegetable juice, popcorn, support: 13
yogurt, popcorn, support: 13
shopping bags, popcorn, support: 14
other vegetables, popcorn, support: 16
root vegetables, popcorn, support: 16
soda, popcorn, support: 19
salty snack, popcorn, support: 22
whole milk, popcorn, support: 26
instant coffee, pastry, support: 10
instant coffee, bottled water, support: 10
instant coffee, frozen vegetables, support: 11
newspapers, instant coffee, support: 11
instant coffee, tropical fruit, support: 12
instant coffee, root vegetables, support: 13
whipped/sour cream, instant coffee, support: 13
instant coffee, rolls/buns, support: 18
instant coffee, other vegetables, support: 19
instant coffee, yogurt, support: 21
instant coffee, whole milk, support: 22
instant coffee, soda, support: 24
whipped/sour cream, rice, support: 10
hamburger meat, rice, support: 10
chocolate, rice, support: 10
hard cheese, rice, support: 10
sausage, rice, support: 10
napkins, rice, support: 11
margarine, rice, support: 11
soda, rice, support: 11
pork, rice, support: 12
coffee, rice, support: 12
sugar, rice, support: 12
beef, rice, support: 12
shopping bags, rice, support: 12
domestic eggs, rice, support: 13
bottled water, rice, support: 13
chicken, rice, support: 13
pip fruit, rice, support: 14
frozen vegetables, rice, support: 14
rolls/buns, rice, support: 15
butter, rice, support: 18
citrus fruit, rice, support: 18
tropical fruit, rice, support: 19
fruit/vegetable juice, rice, support: 19
yogurt, rice, support: 23
root vegetables, rice, support: 31
other vegetables, rice, support: 39
whole milk, rice, support: 46
liquor (appetizer), yogurt, support: 10
liquor (appetizer), frozen vegetables, support: 11
liquor (appetizer), other vegetables, support: 14
liquor (appetizer), shopping bags, support: 15
newspapers, liquor (appetizer), support: 16
liquor (appetizer), whole milk, support: 16
liquor (appetizer), canned beer, support: 17
liquor (appetizer), bottled beer, support: 18
liquor (appetizer), soda, support: 24
bottled water, Instant food products, support: 10
pork, Instant food products, support: 10
pip fruit, Instant food products, support: 10
domestic eggs, Instant food products, support: 10
frankfurter, Instant food products, support: 10
newspapers, Instant food products, support: 11
citrus fruit, Instant food products, support: 11
shopping bags, Instant food products, support: 11
butter, Instant food products, support: 12
curd, Instant food products, support: 13
pastry, Instant food products, support: 14
yogurt, Instant food products, support: 14
tropical fruit, Instant food products, support: 15
root vegetables, Instant food products, support: 19
soda, Instant food products, support: 19
rolls/buns, Instant food products, support: 23
other vegetables, Instant food products, support: 27
whole milk, Instant food products, support: 30
hamburger meat, Instant food products, support: 30
onions, turkey, support: 10
beef, turkey, support: 11
sausage, turkey, support: 11
turkey, frozen vegetables, support: 12
soda, turkey, support: 12
brown bread, turkey, support: 13
whipped/sour cream, turkey, support: 13
turkey, curd, support: 15
fruit/vegetable juice, turkey, support: 15
butter, turkey, support: 15
pip fruit, turkey, support: 16
bottled water, turkey, support: 16
citrus fruit, turkey, support: 17
pastry, turkey, support: 19
rolls/buns, turkey, support: 19
turkey, yogurt, support: 23
root vegetables, turkey, support: 25
tropical fruit, turkey, support: 26
whole milk, turkey, support: 36
other vegetables, turkey, support: 39
detergent, house keeping products, support: 10
pastry, house keeping products, support: 10
frozen vegetables, house keeping products, support: 10
brown bread, house keeping products, support: 10
pip fruit, house keeping products, support: 10
hygiene articles, house keeping products, support: 11
long life bakery product, house keeping products, support: 11
house keeping products, curd, support: 11
citrus fruit, house keeping products, support: 13
whipped/sour cream, house keeping products, support: 13
chocolate, house keeping products, support: 13
shopping bags, house keeping products, support: 15
sausage, house keeping products, support: 16
tropical fruit, house keeping products, support: 16
napkins, house keeping products, support: 16
rolls/buns, house keeping products, support: 17
root vegetables, house keeping products, support: 17
soda, house keeping products, support: 17
yogurt, house keeping products, support: 18
other vegetables, house keeping products, support: 27
whole milk, house keeping products, support: 38
tropical fruit, frozen potato products, support: 11
chocolate, frozen potato products, support: 11
beef, frozen potato products, support: 11
frozen potato products, napkins, support: 11
bottled water, frozen potato products, support: 11
white bread, frozen potato products, support: 11
frozen potato products, frozen vegetables, support: 11
pip fruit, frozen potato products, support: 13
pork, frozen potato products, support: 13
sausage, frozen potato products, support: 13
frankfurter, frozen potato products, support: 15
root vegetables, frozen potato products, support: 15
pastry, frozen potato products, support: 15
fruit/vegetable juice, frozen potato products, support: 16
rolls/buns, frozen potato products, support: 20
frozen potato products, yogurt, support: 22
other vegetables, frozen potato products, support: 26
soda, frozen potato products, support: 27
whole milk, frozen potato products, support: 34
specialty cheese, frozen vegetables, support: 10
specialty cheese, onions, support: 11
specialty cheese, rolls/buns, support: 11
butter, specialty cheese, support: 11
specialty cheese, domestic eggs, support: 12
sausage, specialty cheese, support: 12
whipped/sour cream, specialty cheese, support: 14
soda, specialty cheese, support: 14
citrus fruit, specialty cheese, support: 14
specialty cheese, pip fruit, support: 14
specialty cheese, tropical fruit, support: 16
specialty cheese, bottled water, support: 17
specialty cheese, root vegetables, support: 21
specialty cheese, yogurt, support: 28
specialty cheese, whole milk, support: 37
other vegetables, specialty cheese, support: 42
brown bread, dog food, support: 10
dog food, frozen vegetables, support: 10
dog food, napkins, support: 10
domestic eggs, dog food, support: 10
newspapers, dog food, support: 10
pip fruit, dog food, support: 11
beef, dog food, support: 12
rolls/buns, dog food, support: 13
citrus fruit, dog food, support: 14
root vegetables, dog food, support: 14
bottled water, dog food, support: 14
fruit/vegetable juice, dog food, support: 15
tropical fruit, dog food, support: 16
shopping bags, dog food, support: 18
soda, dog food, support: 18
dog food, yogurt, support: 19
other vegetables, dog food, support: 22
whole milk, dog food, support: 29
sausage, candles, support: 10
coffee, candles, support: 10
beef, candles, support: 10
butter, candles, support: 11
soda, candles, support: 12
yogurt, candles, support: 12
rolls/buns, candles, support: 13
citrus fruit, candles, support: 14
tropical fruit, candles, support: 15
root vegetables, candles, support: 17
pastry, candles, support: 19
margarine, candles, support: 21
other vegetables, candles, support: 23
whole milk, candles, support: 30
sweet spreads, long life bakery product, support: 10
sweet spreads, coffee, support: 10
sweet spreads, chocolate, support: 10
sweet spreads, beef, support: 10
sweet spreads, frozen vegetables, support: 10
sweet spreads, citrus fruit, support: 10
sweet spreads, brown bread, support: 11
sweet spreads, hamburger meat, support: 11
sweet spreads, cream cheese , support: 11
sweet spreads, pastry, support: 11
newspapers, sweet spreads, support: 12
sweet spreads, domestic eggs, support: 12
sweet spreads, tropical fruit, support: 13
sweet spreads, pip fruit, support: 14
sweet spreads, fruit/vegetable juice, support: 15
white bread, sweet spreads, support: 15
sweet spreads, rolls/buns, support: 16
sweet spreads, shopping bags, support: 19
sweet spreads, root vegetables, support: 20
sweet spreads, yogurt, support: 22
sweet spreads, other vegetables, support: 24
sweet spreads, soda, support: 25
sweet spreads, whole milk, support: 35
chocolate marshmallow, coffee, support: 10
newspapers, chocolate marshmallow, support: 10
chocolate marshmallow, long life bakery product, support: 10
sausage, chocolate marshmallow, support: 10
citrus fruit, chocolate marshmallow, support: 10
chocolate marshmallow, napkins, support: 12
chocolate marshmallow, bottled water, support: 12
chocolate marshmallow, root vegetables, support: 12
chocolate marshmallow, frozen vegetables, support: 12
margarine, chocolate marshmallow, support: 13
chocolate marshmallow, candy, support: 14
chocolate marshmallow, waffles, support: 14
chocolate marshmallow, pork, support: 14
chocolate marshmallow, pastry, support: 14
chocolate marshmallow, yogurt, support: 15
chocolate marshmallow, chocolate, support: 16
chocolate marshmallow, domestic eggs, support: 18
chocolate marshmallow, tropical fruit, support: 18
other vegetables, chocolate marshmallow, support: 20
chocolate marshmallow, rolls/buns, support: 22
soda, chocolate marshmallow, support: 24
chocolate marshmallow, whole milk, support: 31
mayonnaise, long life bakery product, support: 10
mayonnaise, frozen vegetables, support: 10
bottled water, mayonnaise, support: 10
mayonnaise, hamburger meat, support: 10
mayonnaise, onions, support: 10
coffee, mayonnaise, support: 11
mayonnaise, brown bread, support: 11
citrus fruit, mayonnaise, support: 11
mayonnaise, cream cheese , support: 11
mayonnaise, beef, support: 12
mayonnaise, pastry, support: 12
mayonnaise, fruit/vegetable juice, support: 12
pip fruit, mayonnaise, support: 12
mayonnaise, mustard, support: 14
frankfurter, mayonnaise, support: 14
domestic eggs, mayonnaise, support: 14
whipped/sour cream, mayonnaise, support: 15
mayonnaise, chocolate, support: 16
mayonnaise, tropical fruit, support: 16
shopping bags, mayonnaise, support: 17
margarine, mayonnaise, support: 17
sausage, mayonnaise, support: 21
soda, mayonnaise, support: 24
root vegetables, mayonnaise, support: 25
mayonnaise, rolls/buns, support: 27
mayonnaise, yogurt, support: 27
whole milk, mayonnaise, support: 33
other vegetables, mayonnaise, support: 35
yogurt, photo/film, support: 11
rolls/buns, photo/film, support: 11
soda, photo/film, support: 11
other vegetables, photo/film, support: 11
whole milk, photo/film, support: 23
pet care, napkins, support: 10
newspapers, pet care, support: 10
pet care, pip fruit, support: 11
pet care, fruit/vegetable juice, support: 11
pet care, bottled beer, support: 12
pet care, bottled water, support: 13
pet care, cat food, support: 13
pet care, tropical fruit, support: 13
pet care, root vegetables, support: 14
pet care, yogurt, support: 14
pet care, other vegetables, support: 19
pet care, soda, support: 21
pet care, whole milk, support: 26
condensed milk, frozen vegetables, support: 10
sugar, condensed milk, support: 10
white bread, condensed milk, support: 10
salty snack, condensed milk, support: 10
sausage, condensed milk, support: 12
condensed milk, bottled beer, support: 12
bottled water, condensed milk, support: 14
citrus fruit, condensed milk, support: 14
pip fruit, condensed milk, support: 14
tropical fruit, condensed milk, support: 15
root vegetables, condensed milk, support: 15
shopping bags, condensed milk, support: 16
condensed milk, fruit/vegetable juice, support: 16
condensed milk, yogurt, support: 16
soda, condensed milk, support: 21
condensed milk, rolls/buns, support: 22
whole milk, condensed milk, support: 24
other vegetables, condensed milk, support: 25
coffee, condensed milk, support: 25
hamburger meat, roll products , support: 10
frankfurter, roll products , support: 10
flour, roll products , support: 10
brown bread, roll products , support: 10
frozen vegetables, roll products , support: 11
pastry, roll products , support: 11
shopping bags, roll products , support: 11
pip fruit, roll products , support: 12
chicken, roll products , support: 12
napkins, roll products , support: 12
roll products , oil, support: 13
beef, roll products , support: 13
sugar, roll products , support: 13
roll products , curd, support: 14
fruit/vegetable juice, roll products , support: 14
bottled water, roll products , support: 14
coffee, roll products , support: 14
butter, roll products , support: 14
domestic eggs, roll products , support: 15
citrus fruit, roll products , support: 15
pork, roll products , support: 16
soda, roll products , support: 16
margarine, roll products , support: 18
whipped/sour cream, roll products , support: 18
roll products , bottled beer, support: 18
sausage, roll products , support: 19
tropical fruit, roll products , support: 20
rolls/buns, roll products , support: 21
yogurt, roll products , support: 22
root vegetables, roll products , support: 31
whole milk, roll products , support: 46
other vegetables, roll products , support: 47
flower (seeds), sausage, support: 10
frankfurter, flower (seeds), support: 10
flower (seeds), domestic eggs, support: 10
flower (seeds), chicken, support: 10
flower (seeds), brown bread, support: 11
flower (seeds), shopping bags, support: 11
flower (seeds), pastry, support: 11
flower (seeds), bottled beer, support: 11
flower (seeds), citrus fruit, support: 12
flower (seeds), tropical fruit, support: 12
flower (seeds), frozen vegetables, support: 12
margarine, flower (seeds), support: 14
flower (seeds), yogurt, support: 14
flower (seeds), bottled water, support: 15
flower (seeds), butter, support: 16
flower (seeds), soda, support: 16
whipped/sour cream, flower (seeds), support: 16
flower (seeds), rolls/buns, support: 18
flower (seeds), root vegetables, support: 19
flower (seeds), other vegetables, support: 37
flower (seeds), whole milk, support: 39
dish cleaner, curd, support: 10
dish cleaner, chicken, support: 10
dish cleaner, beef, support: 11
frankfurter, dish cleaner, support: 11
cat food, dish cleaner, support: 11
dish cleaner, oil, support: 11
dish cleaner, brown bread, support: 11
hygiene articles, dish cleaner, support: 12
domestic eggs, dish cleaner, support: 12
dish cleaner, hamburger meat, support: 12
dish cleaner, pastry, support: 12
coffee, dish cleaner, support: 13
pip fruit, dish cleaner, support: 13
dish cleaner, tropical fruit, support: 14
sausage, dish cleaner, support: 15
dish cleaner, napkins, support: 15
bottled water, dish cleaner, support: 15
citrus fruit, dish cleaner, support: 16
root vegetables, dish cleaner, support: 16
shopping bags, dish cleaner, support: 16
whipped/sour cream, dish cleaner, support: 17
dish cleaner, rolls/buns, support: 22
other vegetables, dish cleaner, support: 23
soda, dish cleaner, support: 24
dish cleaner, yogurt, support: 24
whole milk, dish cleaner, support: 29
frozen dessert, napkins, support: 10
white bread, frozen dessert, support: 10
frozen dessert, long life bakery product, support: 10
frozen dessert, fruit/vegetable juice, support: 11
frozen dessert, bottled beer, support: 12
frozen dessert, pip fruit, support: 12
frozen dessert, shopping bags, support: 12
frankfurter, frozen dessert, support: 13
frozen dessert, pork, support: 13
whipped/sour cream, frozen dessert, support: 14
frozen dessert, curd, support: 14
citrus fruit, frozen dessert, support: 14
frozen dessert, coffee, support: 14
frozen dessert, bottled water, support: 15
frozen dessert, frozen meals, support: 15
frozen dessert, domestic eggs, support: 15
margarine, frozen dessert, support: 15
frozen dessert, pastry, support: 16
frozen dessert, frozen vegetables, support: 18
frozen dessert, yogurt, support: 19
frozen dessert, root vegetables, support: 24
soda, frozen dessert, support: 25
frozen dessert, tropical fruit, support: 26
frozen dessert, rolls/buns, support: 29
other vegetables, frozen dessert, support: 36
frozen dessert, whole milk, support: 39
salt, oil, support: 10
frankfurter, salt, support: 10
coffee, salt, support: 10
salt, cream cheese , support: 10
shopping bags, salt, support: 11
chicken, salt, support: 11
tropical fruit, salt, support: 14
butter, salt, support: 14
newspapers, salt, support: 14
margarine, salt, support: 14
bottled water, salt, support: 15
fruit/vegetable juice, salt, support: 15
citrus fruit, salt, support: 15
onions, salt, support: 15
pip fruit, salt, support: 15
soda, salt, support: 16
salt, bottled beer, support: 17
sausage, salt, support: 17
sugar, salt, support: 18
domestic eggs, salt, support: 19
rolls/buns, salt, support: 21
whipped/sour cream, salt, support: 21
yogurt, salt, support: 22
root vegetables, salt, support: 27
other vegetables, salt, support: 36
whole milk, salt, support: 38
canned vegetables, curd, support: 10
bottled water, canned vegetables, support: 10
pork, canned vegetables, support: 10
beef, canned vegetables, support: 10
dessert, canned vegetables, support: 11
onions, canned vegetables, support: 11
newspapers, canned vegetables, support: 11
chocolate, canned vegetables, support: 11
margarine, canned vegetables, support: 12
hard cheese, canned vegetables, support: 12
canned vegetables, frozen vegetables, support: 13
brown bread, canned vegetables, support: 13
shopping bags, canned vegetables, support: 14
fruit/vegetable juice, canned vegetables, support: 15
domestic eggs, canned vegetables, support: 16
whipped/sour cream, canned vegetables, support: 16
sausage, canned vegetables, support: 16
canned vegetables, hamburger meat, support: 16
pip fruit, canned vegetables, support: 17
rolls/buns, canned vegetables, support: 21
citrus fruit, canned vegetables, support: 21
root vegetables, canned vegetables, support: 26
tropical fruit, canned vegetables, support: 27
canned vegetables, yogurt, support: 30
soda, canned vegetables, support: 30
whole milk, canned vegetables, support: 38
other vegetables, canned vegetables, support: 46
liquor, bottled water, support: 10
liquor, rolls/buns, support: 11
liquor, root vegetables, support: 11
other vegetables, liquor, support: 13
liquor, red/blush wine, support: 21
soda, liquor, support: 21
liquor, shopping bags, support: 25
liquor, bottled beer, support: 46
beef, spread cheese, support: 10
ham, spread cheese, support: 10
cream cheese , spread cheese, support: 11
chocolate, spread cheese, support: 11
bottled beer, spread cheese, support: 12
pork, spread cheese, support: 13
pip fruit, spread cheese, support: 13
fruit/vegetable juice, spread cheese, support: 14
newspapers, spread cheese, support: 16
citrus fruit, spread cheese, support: 16
root vegetables, spread cheese, support: 17
brown bread, spread cheese, support: 17
pastry, spread cheese, support: 17
tropical fruit, spread cheese, support: 20
shopping bags, spread cheese, support: 21
bottled water, spread cheese, support: 22
sausage, spread cheese, support: 24
other vegetables, spread cheese, support: 30
soda, spread cheese, support: 31
whole milk, spread cheese, support: 31
yogurt, spread cheese, support: 35
rolls/buns, spread cheese, support: 41
beef, cling film/bags, support: 10
cream cheese , cling film/bags, support: 10
berries, cling film/bags, support: 10
hygiene articles, cling film/bags, support: 10
long life bakery product, cling film/bags, support: 11
pip fruit, cling film/bags, support: 12
sausage, cling film/bags, support: 12
whipped/sour cream, cling film/bags, support: 13
fruit/vegetable juice, cling film/bags, support: 13
frozen vegetables, cling film/bags, support: 14
margarine, cling film/bags, support: 14
napkins, cling film/bags, support: 15
shopping bags, cling film/bags, support: 15
citrus fruit, cling film/bags, support: 16
root vegetables, cling film/bags, support: 16
rolls/buns, cling film/bags, support: 19
tropical fruit, cling film/bags, support: 19
bottled water, cling film/bags, support: 19
coffee, cling film/bags, support: 21
soda, cling film/bags, support: 23
yogurt, cling film/bags, support: 25
other vegetables, cling film/bags, support: 32
whole milk, cling film/bags, support: 36
frozen fish, cream cheese , support: 10
frozen fish, waffles, support: 10
frozen fish, chocolate, support: 10
frozen fish, salty snack, support: 10
frozen fish, candy, support: 10
frozen fish, onions, support: 10
frozen fish, brown bread, support: 10
frozen fish, butter, support: 11
frozen fish, sliced cheese, support: 11
frozen fish, long life bakery product, support: 11
frozen fish, pastry, support: 11
sugar, frozen fish, support: 12
frozen fish, fruit/vegetable juice, support: 12
frozen fish, soda, support: 12
newspapers, frozen fish, support: 12
frozen fish, shopping bags, support: 12
frozen fish, domestic eggs, support: 14
frozen fish, sausage, support: 14
frozen fish, frozen meals, support: 15
frozen fish, citrus fruit, support: 16
frankfurter, frozen fish, support: 17
frozen fish, frozen vegetables, support: 18
frozen fish, pork, support: 20
frozen fish, pip fruit, support: 21
margarine, frozen fish, support: 21
frozen fish, rolls/buns, support: 24
frozen fish, tropical fruit, support: 25
frozen fish, root vegetables, support: 26
frozen fish, yogurt, support: 32
frozen fish, other vegetables, support: 46
frozen fish, whole milk, support: 49
mustard, pickled vegetables, support: 10
canned fish, mustard, support: 10
mustard, berries, support: 10
whipped/sour cream, mustard, support: 10
sliced cheese, mustard, support: 10
mustard, curd, support: 11
pip fruit, mustard, support: 11
beef, mustard, support: 12
long life bakery product, mustard, support: 12
mustard, UHT-milk, support: 12
mustard, bottled beer, support: 13
onions, mustard, support: 13
mustard, napkins, support: 14
coffee, mustard, support: 14
mustard, oil, support: 14
pastry, mustard, support: 14
chocolate, mustard, support: 15
margarine, mustard, support: 16
newspapers, mustard, support: 17
fruit/vegetable juice, mustard, support: 17
domestic eggs, mustard, support: 18
citrus fruit, mustard, support: 18
bottled water, mustard, support: 20
shopping bags, mustard, support: 20
mustard, yogurt, support: 23
soda, mustard, support: 23
sausage, mustard, support: 23
frankfurter, mustard, support: 25
tropical fruit, mustard, support: 26
other vegetables, mustard, support: 32
root vegetables, mustard, support: 33
