,items
150,"{'emacs', 'cd', '<1>', 'xcc', 'xxgdb', 'dem', '<2>', 'ls', '-g', 'a.out', 'quota', 'cp', 'dbx', 'rm'}"
151,"{'mv', 'cd', '<1>', '-l', '<2>', 'logout', 'volcheck', 'eject', 'ls', 'lsf', 'cpfrf'}"
152,"{'cd', '<1>', 'im', '&', 'ls', 'a.out', 'quota'}"
153,"{'cd', '<1>', 'volcheck', 'eject', 'ls', 'ff', 'cptof'}"
154,"{'emacs', 'cd', '<1>', 'xcc', 'rlogin', 'ls', 'quota'}"
155,"{'mv', 'cd', '<1>', '-l', '<2>', 'logout', 'volcheck', 'eject', 'ls', 'lsf', 'cpfrf'}"
156,"{'cd', '<1>', 'xcc', 'where', '<2>', 'dem', '-g', 'a.out', 'cp', 'dbx', 'rm'}"
157,"{'cd', '<1>', '<2>', 'a.out', 'cp', 'rm'}"
158,"{'cd', '<1>', 'xcc', '<2>', '<4>', 'ls', '-g', 'a.out', 'cp', 'dbx', 'rm'}"
159,"{'emacs', 'quota'}"
160,"{'emacs', 'cd', '<1>', 'xcc', '<2>', 'more', '-g', 'a.out', 'quota', 'rm'}"
161,"{'cd', '<1>'}"
162,{'emacs'}
163,"{'eject', '>', 'cp', 'cd', 'xcc', 'z2', 'netscape', 'im', '&', 'a.out', 'quota', 'emacs', 'diff', '<1>', '<2>', '-l', 'volcheck', 'more', '-g', 'cptof', 'emac', 'mv', 'z', 'ls', 'ff', 'lsf', 'rm'}"
164,"{'emacs', 'quota'}"
165,"{'emacs', 'quota'}"
166,"{'cd', '<1>', '-l', 'netscape', '&', 'ls', 'a.out', '.out'}"
167,"{'eject', '>', 'cd', 'xcc', 'a.out', 'quota', 'cpfrf', '<1>', '-l', '<2>', 'volcheck', 'more', '-g', 'cptof', 'dbx', 'mv', 'dem', 'ls', 'ff', 'lsf', 'rm'}"
168,"{'cd', '<1>', 'xcc', '<2>', 'ls', '-g', 'a.out', '>', 'cp', 'dbx', 'rm'}"
169,"{'ls', 'cd', '<1>', 'finger'}"
170,"{'>', 'uncompress', 'cp', 'cd', 'xcc', 'unrm', 'netscape', '&', 'compress', 'a.out', 'quota', '<7>', '<1>', '<6>', '<2>', 'more', '-g', 'mv', 'ls', 'rm'}"
171,"{'cd', '<1>', 'xcc', '<2>', 'dem', '-g', 'a.out', 'uncompress'}"
172,"{'cd', '<1>', 'xcc', '<2>', 'netscape', '&', '<10>', 'more', 'ls', '-g', '>', 'a.out', 'rm'}"
173,"{'a.ot', 'cd', '<1>', 'xcc', '<2>', '-l', 'volcheck', 'eject', 'im', '&', 'ls', 'a.out', 'cptof', 'lsf'}"
174,"{'emacs', 'quota'}"
175,"{'<1>', 'logout', 'man', '-k', 'help', 'xterm'}"
176,"{'emacs', 'cd', '<1>', '-l', 'im', '&', 'ls', 'a.out', 'quota', 'uncompress'}"
177,"{'mv', '<1>', '<2>', 'more', 'ls'}"
178,"{'cd', '<1>', 'xcc', '<2>', 'a.out', '>'}"
179,"{'emacs', '<1>', 'ls', 'quota', 'rm'}"
180,"{'emacs', 'cd', '<1>', 'xcc', '<2>', 'netscape', 'im', '&', 'compress', 'more', 'ls', '<GENSYM:15>/im', 'a.out', 'quota', 'uncompress', '>', 'rm'}"
181,"{'emacs', 'quota'}"
182,"{'emacs', 'netscape', 'quota', '&'}"
183,"{'netscape', '&'}"
184,"{'emacs', 'cd', '<1>', 'bg', 'g', 'im', '&', 'ls', 'a.out', 'quota', '>'}"
185,"{'emacs', 'quota'}"
186,"{'emacs', 'cd', '<1>', 'netscape', 'im', '&', 'ls', 'a.out', 'quota'}"
187,"{'cd', '<1>', '<GENSYM:16>/im'}"
188,"{'<', '<1>', 'pgp', '<2>', '-ka', '-kvv', 'ls', '-kxa', 'mail'}"
189,"{'emacs', 'cd', 'mkdir', '<1>', 'pgp', '<', '-kvv', 'more', '-kvc', '-ks', '-kxa', 'mail', '-kv', '-kg', 'rmdir'}"
190,"{'<1>', '<6>', 'netscape', '&', 'more', 'ls', 'rm'}"
191,"{'emacs', 'cd', '<1>', 'bg', '<2>', 'im', 'more', 'ls', 'a.out', 'quota'}"
192,"{'emacs', 'quota', 'logout'}"
193,"{'emacs', 'logout'}"
194,"{'mail', '<1>', '<'}"
195,"{'mv', 'cd', '<1>', 'xcc', '<2>', 'netscape', 'im', '&', 'compress', 'more', 'ls', 'a.out', 'quota', '>', 'uncompress', 'rm', 'rmdir', '<7>'}"
196,"{'emacs', '<1>', 'finger', 'quota'}"
197,"{'emacs', 'quota', 'logout'}"
198,"{'finger', 'matlab'}"
199,"{'mv', 'cd', '<1>', 'xcc', '<2>', 'rlogin', '&', 'more', 'ls', '-g', 'a.out', '>', 'dbx', 'rm'}"
200,"{'cd', '<1>', 'bibtex', 'gs', '<', '<2>', '<5>', '<6>', 'latex', 'xdvi', 'compress', 'ls', 'uncompress', 'dvips', 'mail', 'rm'}"
201,"{'cd', '<1>', 'xcc', '<2>', 'logout', 'volcheck', 'eject', 'ls', '-g', 'a.out', 'lsf', 'dbx', 'rm', 'cpfrf'}"
202,"{'cd', '<1>', 'volcheck', 'eject', 'cptof', 'a.out'}"
203,"{'emacs', '<', '<1>', 'quota', 'mail'}"
204,"{'emacs', 'cd', '<1>', 'xcc', 'diff', '<2>', 'finger', 'more', 'ls', '-g', 'a.out', 'quota', 'rm', 'rmdir'}"
205,"{'ls', 'more', '<1>', 'uncompress'}"
206,"{'emacs', 'cd', '<1>', 'gs', '<2>', 'compress', 'more', 'ls', '<3>', 'qouta', 'quota', 'cp', 'rm'}"
207,"{'emacs', 'cd', '<1>', '<2>', 'finger', 'netscape', 'cp'}"
208,"{'emacs', 'cd', '<1>', '<2>', 'finger', 'latex', 'xdvi', 'dvips', '-d', 'lp'}"
209,"{'emacs', 'quota'}"
210,"{'emacs', 'cd', '<1>', 'compress', 'ls', 'quota', 'rm'}"
211,"{'<1>', 'pgp', 'more', 'quota', 'uncompress'}"
212,"{'emacs', '<1>', '<2>', 'logout', 'LS', 'ls', 'fg', 'quota', 'setenv'}"
213,"{'emacs', '<2>', 'logout', 'quota', 'setenv'}"
214,"{'emacs', '<2>', 'logout', 'QUOTA', 'fg', 'quota', 'setenv'}"
215,"{'emacs', 'netscape', '&', 'ls', 'quota'}"
216,"{'cd', '<1>', '-l', 'finger', 'ls'}"
217,"{'emacs', '&', 'fg', 'quota', 'matlab'}"
218,{'emacs'}
219,"{'emacs', 'quota'}"
220,"{'emacs', 'quota'}"
221,"{'which', '<1>', 'quit', 'matlab'}"
222,"{'<2>', '-l', '1', 'rlogin', 'setenv'}"
223,"{'cd', '<1>', '|', '<2>', 'logout', 'more', 'ls', 'quota', 'cp', 'rm'}"
224,{'emacs'}
225,{'ls'}
226,"{'netscape', '&'}"
227,{'emacs'}
228,"{'emacs', '<1>', 'netscape', 'help', '&', 'quota'}"
229,"{'netscape', '&'}"
230,"{'emacs', 'quota'}"
231,"{'lpp', '<1>'}"
232,"{'<1>', 'ghostview'}"
233,"{'emacs', 'cd', '<1>', 'xcc', '<2>', 'finger', 'netscape', '&', 'more', 'a.out', 'quota', 'uncompress'}"
234,"{'<1>', 'rm'}"
235,"{'<1>', 'rm'}"
236,"{'<1>', 'rm'}"
237,"{'<1>', 'finger'}"
238,"{'emacs', 'quota'}"
239,"{'emacs', 'cd', '<1>', 'xcc', '<2>', 'more', 'a.out', 'quota'}"
240,"{'more', '<1>', 'cd', 'rm'}"
241,"{'cd', '<1>', 'netscape', '&', 'a.out', 'rm'}"
242,"{'cd', '<1>', 'pwd', 'volcheck', 'eject', 'cdf', 'ls', 'ff', 'lsf', 'rm'}"
243,"{'emacs', 'quota'}"
244,"{'netscape', '&'}"
245,"{'cd', '<1>', 'volcheck', 'eject', 'ls', 'ff', 'lsf'}"
246,"{'ps', 'cd', '<1>', '-la', '-A', 'netscape', 'filemgr', '<4>', '&', '-a', 'more', 'ls', '<3>', 'quota', '-u', 'rm'}"
247,"{'mv', 'cd', '<1>', '<2>', 'man', 'more', 'ls', '-r', 'quota', 'rm', 'rmdir'}"
248,"{'<GENSYM:17>/dtfile', 'll', 'which', 'cd', 'netscape', '-f', '&', '-a', 'tail', 'cat', 'gdb', '-C', 'df', '<1>', '-l', '-la', '<2>', 'lz', 'more', 'fg', 'setenv', 'date', '-k', 'ls', 'uname', 'rm', 'xterm'}"
249,"{'vi', '<1>'}"
250,"{'s', 'tombs', 'cp', 'cd', 'unrm', 'man', '-Al', '-r', 'ps', '<1>', '<2>', '-l', 'kill', 'more', '-u', 'setenv', 'mv', '-A', 'ls', 'rm'}"
251,"{'more', '<1>', 'rm'}"
252,"{'ps', '<1>', '-Al', 'kill'}"
253,"{'cd', '<1>', '<2>', 'man', 'more', 'ls', '-r', 'rm', 'grep'}"
254,"{'cd', '<1>', 'mkdir', '<2>', 'volcheck', 'eject', 'lpp', 'latex', 'xdvi', 'more', 'ls', 'dvips', 'cp', 'setenv', 'cpfrf'}"
255,"{'help', '>', 'which', 'cp', 'cd', 'bg', 'xcc', 'man', '-r', 'a.out', 'laserquota', 'diff', '<1>', '<2>', '-l', 'lwinfo', 'rlogin', 'more', '-g', '-E', 'dtfile', 'setenv', 'dbx', 'lp', 'dem', 'filemgr', '-k', 'ls', '-d', 'rm'}"
256,"{'cd', '<1>', 'xcc', '<2>', 'ls', 'a.out', 'cp', 'rm'}"
257,"{'cd', '<1>', 'volcheck', 'rmcore', 'eject', 'ls', 'ff', 'uncompress', 'cptof', 'lsf', 'rm'}"
258,"{'emacs', '<1>', 'finger'}"
259,"{'emacs', 'quota'}"
260,"{'cd', '<1>', 'ls', 'a.out', 'rm'}"
261,"{'emacs', 'filemgr', 'netscape', '&', 'quota'}"
262,"{'emacs', 'quota'}"
263,"{'emacs', 'quota'}"
264,"{'<1>', 'rlogin'}"
265,"{'emacs', 'bg', 'filemgr', 'netscape', '&', 'quota'}"
266,"{'cd', '<1>', 'logout', 'volcheck', 'eject', 'ls', 'lsf', 'cpfrf'}"
267,"{'emacs', 'cd', '<1>', 'volcheck', 'eject', 'lpp', 'cptof', 'quota', 'ff', 'lsf', 'rm'}"
268,"{'cd', '<1>', '<2>', 'logout', 'latex', 'more', 'dvips', '-d', 'lp'}"
269,"{'cd', '<1>', '<2>', 'logout', 'quot', 'more', 'ls', 'quota', 'rm'}"
270,"{'|', '<1>', 'cd', '<2>', 'logout', 'more', 'ls', 'cp', '-r', 'quota', 'qutoa', 'rm'}"
271,"{'ps', 'cd', '<1>', 'kill', 'volcheck', 'eject', 'netscape', '&', 'rlogin', '-a', 'ff', 'cptof', 'lsf', '`'}"
272,"{'ps', '<1>', 'pwd', 'netscape', 'rlogin', '&', 'ls', 'quota', 'dtfile'}"
273,"{'emacs', 'ps', 'pwd', '<2>', 'logout', 'netscape', '&', 'setenv'}"
274,"{'cd', '<1>', '-la', 'unrm', 'man', 'netscape', '-R', '&', 'more', 'ls', '>', 'quota', 'find', 'rm'}"
275,"{'emacs', 'cd', '<1>', 'unrm', 'quot', 'netscape', '-R', '&', 'ls', 'quota', 'rm'}"
276,"{'cd', '<1>', 'more'}"
277,"{'cd', '<1>', 'diff', '<2>', '<GENSYM:18>', '<GENSYM:19>', 'volcheck', 'ls', 'cptof', 'lsf', 'rm', 'cpfrf'}"
278,"{'emacs', 'cd', 'bg', '<1>', 'xcc', '<2>', '-l', 'dtcalc', 'calc', 'filemgr', 'im', 'ls', 'a.out', 'quota', 'uncompress', 'image12'}"
279,"{'setenv', 'thor', '<2>'}"
280,"{'emacs', 'cd', '<1>', 'mv', '<2>', '-l', 'compress', 'more', 'ls', 'quota', 'uncompress', 'cp', 'rm'}"
281,"{'netscape', '&'}"
282,"{'netscape', '&'}"
283,"{'emacs', 'quota'}"
284,{'filemgr'}
285,"{'emacs', 'quota'}"
286,"{'netscape', '&'}"
287,"{'emacs', 'quota', 'logout'}"
288,"{'|', '<1>', 'cd', 'more', 'ls', '-r', 'quota', '`', 'rm'}"
289,{'quota'}
290,"{'emacs', 'cd', '<1>', '<2>', 'volcheck', 'finger', 'netscape', 'compress', 'ls', 'ff', 'uncompress', 'quota', 'lsf', 'rm'}"
291,"{'eject', '>', 'uncompress', 'cp', 'cd', 'du', 'quota', 'source', 'emacs', '<1>', 'mkdir', '-l', '<2>', 'volcheck', 'more', 'cptof', 'mv', 'ls', 'ff', 'lsf'}"
292,"{'<1>', 'uncompress'}"
293,"{'emacs', 'cd', '<1>', 'logout', 'compress', 'ls', 'du', '-r', 'quota', 'uncompress', 'rm'}"
294,"{'emacs', '<1>', 'eject', 'ls', 'source'}"
295,"{'mv', 'cd', '<1>', 'bibtex', 'mkdir', '<2>', 'mkkdir', 'volcheck', 'finger', 'latex', 'xdvi', 'ls', 'dvips', 'lsf', 'cpfrf'}"
296,"{'cd', '<1>', 'bibtex', '<2>', 'finger', 'latex', 'xdvi', 'cp'}"
297,"{'<1>', 'finger'}"
298,"{'cd', '<1>', '<2>', 'xdvi', 'exit', 'setenv'}"
299,"{'mv', 'cd', '<1>', 'bibtex', 'gs', '<2>', '<', 'volcheck', 'latex', 'xdvi', 's', 'ls', 'dvips', 'lsf', 'cp', 'mail', 'cpfrf'}"
300,"{'emacs', 'cd', '<1>', 'lpp', 'netscape', '&', 'ls', 'quota'}"
301,"{'cd', '<1>', 'bibtex', 'xdvi', 'latex'}"
302,{'eject'}
303,{'eject'}
304,"{'emacs', 'cd', '<1>', 'mkdir', 'bibtex', '<2>', '<', 'volcheck', 'lpp', '-s', 'latex', 'xdvi', 'ls', 'dvips', 'lsf', 'mail', 'cpfrf'}"
305,"{'cd', '<1>', 'netscape', '&', 'more', 'ls'}"
306,"{'emacs', 'cd', '<1>', 'bibtex', '.s', 'latex', 'xdvi', 'ls', 'quota', 'rm'}"
307,"{'cd', '<1>', 'more', 'gs'}"
308,"{'emacs', '<1>', '<2>', 'logout', 'less', 'setenv'}"
309,"{'emacs', 'quota'}"
310,"{'emacs', 'cd', '<1>', 'bibtex', '<2>', 'mroe', 'latex', 'xdvi', 'more', 'ls', 'quota', 'rm'}"
311,"{'eject', 'cd', 'netscape', '<4>', '&', 'du', 'quota', '<1>', '<2>', '-l', '<5>', 'volcheck', 'more', 'cptof', 'pwd', 'ls', '<3>', 'ff', 'lsf', 'rm'}"
312,"{'emacs', 'quota'}"
313,{'emacs'}
314,"{'mail', '<1>', '<'}"
315,"{'<1>', 'netscape', 'rlogin', '&'}"
316,"{'emacs', 'setenv', 'quota', '<2>'}"
317,"{'emacs', 'quota'}"
318,"{'cd', '<1>', 'finger', 'more', 'quota'}"
319,"{'emacs', 'netscape', '&'}"
